episode,reward,steps
1,-10.5,5
2,-10.5,5
3,-11.4,20
4,-11.0,10
5,-10.5,5
6,-7.5,20
7,-10.5,5
8,-10.7,10
9,-9.1,20
10,-11.5,15
11,-9.6,15
12,-10.7,10
13,-10.5,5
14,-11.5,15
15,-9.5,10
16,-10.5,5
17,-11.0,10
18,-11.5,15
19,-10.2,5
20,-6.5,20
21,-10.799999999999999,20
22,-10.5,5
23,-10.799999999999999,20
24,-10.5,5
25,-7.800000000000001,20
26,-10.5,5
27,-5.199999999999999,40
28,-12.5,25
29,-10.5,5
30,-11.7,20
31,-11.5,15
32,-10.4,10
33,-11.0,10
34,-10.5,5
35,-0.29999999999999716,20
36,-10.2,5
37,-11.5,15
38,-10.5,5
39,-5.799999999999999,10
40,-10.5,5
41,-10.6,15
42,-10.5,5
43,-12.0,20
44,-10.5,5
45,-10.5,5
46,-10.2,20
47,-10.5,5
48,-10.5,5
49,-11.0,10
50,-7.199999999999999,5
51,-10.6,25
52,-5.399999999999999,10
53,-10.2,20
54,-9.9,5
55,-12.0,20
56,-10.5,5
57,-1.4000000000000004,45
58,-9.9,5
59,-8.2,20
60,-11.0,10
61,-9.0,15
62,-10.5,5
63,-11.0,10
64,-7.8,20
65,-4.999999999999998,15
66,-6.999999999999993,40
67,-10.5,5
68,-8.5,10
69,-11.5,15
70,-4.499999999999995,20
71,1.5000000000000053,30
72,-10.2,20
73,-12.0,20
74,-10.5,5
75,-9.6,5
76,-6.6,20
77,-11.0,10
78,-5.899999999999996,20
79,-10.5,5
80,-11.2,15
81,-11.0,10
82,-8.7,20
83,-7.199999999999999,5
84,-11.5,15
85,-11.4,20
86,-6.3,15
87,-4.799999999999999,10
88,-12.0,20
89,-5.699999999999997,20
90,-10.5,5
91,-10.5,5
92,-11.0,10
93,-4.699999999999998,20
94,-11.5,30
95,-10.5,5
96,-10.5,5
97,-10.9,15
98,-11.2,15
99,-11.2,15
100,-10.5,5
101,-3.6999999999999984,20
102,-10.2,5
103,-11.0,40
104,-10.5,5
105,-10.5,5
106,-6.5,5
107,-2.099999999999996,20
108,-12.0,20
109,-12.2,25
110,-4.999999999999999,15
111,-1.3999999999999968,20
112,-5.799999999999999,10
113,1.5000000000000018,20
114,-11.0,10
115,-10.299999999999999,15
116,-10.5,5
117,-10.5,20
118,-7.6,15
119,-7.500000000000002,50
120,-11.1,20
121,-0.5,35
122,-10.5,5
123,-10.5,20
124,-9.1,10
125,-10.6,15
126,-7.7,20
127,-11.0,10
128,5.600000000000003,20
129,-11.0,10
130,-11.5,15
131,-10.5,5
132,-10.5,5
133,-5.899999999999998,20
134,-10.1,10
135,-11.0,10
136,0.600000000000005,20
137,-5.1999999999999975,20
138,1.9000000000000021,20
139,-11.0,10
140,-3.6999999999999975,35
141,-8.799999999999999,10
142,-10.4,10
143,-11.7,20
144,-3.499999999999999,35
145,-9.6,5
146,-9.4,15
147,-9.9,5
148,-13.500000000000002,35
149,-11.0,10
150,-10.5,5
151,-7.800000000000001,20
152,-11.0,10
153,-4.499999999999998,15
154,2.6000000000000085,55
155,-11.0,10
156,-11.5,15
157,-4.3999999999999995,15
158,-10.2,5
159,-2.799999999999999,20
160,-1.1999999999999975,20
161,-1.3999999999999986,20
162,-11.5,15
163,-3.3999999999999986,20
164,-11.0,10
165,-2.7999999999999954,25
166,-1.0,15
167,-10.5,5
168,-10.3,30
169,-13.0,30
170,-10.5,5
171,-9.9,5
172,-11.0,35
173,-11.5,15
174,-12.0,20
175,-9.6,5
176,0.40000000000000213,20
177,-11.2,15
178,-13.0,30
179,-10.5,5
180,-10.5,5
181,-11.0,10
182,-10.5,5
183,-11.2,15
184,-10.5,5
185,-10.6,15
186,1.400000000000004,20
187,-10.5,5
188,-11.0,10
189,-4.3999999999999915,30
190,1.5999999999999996,40
191,-10.299999999999999,15
192,-11.0,10
193,-11.0,10
194,-9.6,5
195,-5.799999999999999,20
196,-7.199999999999999,5
197,-11.7,20
198,-7.3,15
199,-11.0,10
200,-10.5,5
201,-7.700000000000001,40
202,-11.5,15
203,-4.699999999999998,10
204,-11.1,20
205,-11.0,10
206,-11.0,10
207,-8.8,10
208,-6.799999999999999,20
209,-11.2,15
210,-0.1999999999999975,20
211,-10.0,15
212,-4.199999999999999,20
213,-10.2,5
214,-10.7,10
215,-10.9,50
216,-4.899999999999999,20
217,-7.3999999999999995,10
218,-3.299999999999999,15
219,-11.0,10
220,-9.6,20
221,-9.9,20
222,-11.0,10
223,-2.1999999999999993,20
224,-10.5,5
225,-10.799999999999999,20
226,-10.0,15
227,-11.2,15
228,-10.2,20
229,-10.5,5
230,-8.899999999999999,15
231,-11.4,20
232,-10.5,5
233,-8.1,15
234,-11.0,10
235,-5.099999999999999,20
236,-10.5,5
237,-10.4,10
238,-8.5,10
239,-6.5,5
240,-6.199999999999996,30
241,-10.8,20
242,-11.5,15
243,-11.4,20
244,-10.5,5
245,-7.1,20
246,-12.5,25
247,-11.0,10
248,-11.0,10
249,-10.5,5
250,-11.7,20
251,-11.0,10
252,-10.5,5
253,-11.0,10
254,-8.6,5
255,-8.9,20
256,-9.6,5
257,-12.0,20
258,-10.2,5
259,-10.5,5
260,-12.5,25
261,-10.5,5
262,-10.7,20
263,-3.8999999999999986,15
264,-9.5,20
265,-11.0,10
266,-10.7,10
267,-8.2,15
268,-11.0,10
269,-3.499999999999999,20
270,-11.0,10
271,-4.799999999999996,20
272,-2.3999999999999977,15
273,-11.0,10
274,-10.2,5
275,-8.1,10
276,-4.199999999999999,20
277,-7.199999999999999,20
278,-7.799999999999999,10
279,-11.5,15
280,-7.0,15
281,-10.299999999999999,15
282,-0.6999999999999975,20
283,-10.299999999999999,15
284,-11.5,15
285,-12.0,20
286,-10.9,15
287,-10.5,20
288,-11.0,10
289,-7.199999999999999,5
290,-11.5,15
291,-11.0,10
292,-8.3,20
293,-12.700000000000001,30
294,-12.0,20
295,-10.7,10
296,-9.9,20
297,-11.4,20
298,-3.6999999999999966,35
299,5.600000000000003,20
300,-10.5,5
301,-11.5,15
302,-10.5,5
303,-11.2,15
304,-10.5,5
305,-5.399999999999998,15
306,-11.0,10
307,-10.5,5
308,-8.1,15
309,-11.0,10
310,-10.0,15
311,-11.5,15
312,-7.8,15
313,-10.5,5
314,-11.0,10
315,-11.2,15
316,-7.9,10
317,-9.9,5
318,6.299999999999995,35
319,-11.0,10
320,-11.9,25
321,-9.799999999999999,10
322,-7.1,25
323,-10.1,10
324,-10.0,15
325,-8.1,20
326,2.900000000000002,20
327,-2.3999999999999986,20
328,-11.5,15
329,-10.5,5
330,-14.100000000000001,50
331,-10.2,5
332,-10.5,5
333,0.1999999999999993,20
334,-7.699999999999999,10
335,-10.8,20
