episode,reward,steps
1,-8.8,15
2,-10.5,5
3,-12.0,20
4,-4.899999999999997,15
5,-11.0,10
6,-6.999999999999998,20
7,-11.0,10
8,-4.699999999999998,10
9,-11.0,10
10,-11.0,10
11,-12.1,30
12,0.40000000000000036,15
13,-11.0,10
14,-11.7,20
15,-0.1999999999999975,20
16,-10.799999999999999,20
17,-5.599999999999997,20
18,-10.5,5
19,-11.0,10
20,-11.0,10
21,-6.5,5
22,-4.799999999999995,20
23,-11.4,20
24,-11.0,10
25,-11.0,10
26,-10.9,15
27,-11.5,15
28,-10.1,10
29,-10.4,25
30,-10.5,5
31,-7.699999999999999,10
32,-10.5,5
33,8.099999999999989,65
34,-4.599999999999998,20
35,-11.5,15
36,-7.8,15
37,4.0,35
38,-5.3999999999999995,10
39,-11.5,15
40,-7.8999999999999995,10
41,-8.1,15
42,-9.299999999999999,5
43,-11.5,15
44,-5.399999999999999,20
45,-10.5,20
46,-11.0,10
47,0.30000000000000604,35
48,-10.5,5
49,-12.0,20
50,-8.700000000000001,30
51,4.200000000000001,20
52,-12.2,25
53,-10.5,5
54,-1.6999999999999993,15
55,-2.6999999999999984,10
56,-11.0,10
57,-5.599999999999994,30
58,-8.3,30
59,2.8000000000000007,20
60,-10.7,10
61,-8.8,10
62,-12.0,20
63,-9.1,15
64,-10.4,10
65,-11.7,20
66,-6.4999999999999964,45
67,-1.6999999999999975,35
68,-7.7,10
69,-11.0,10
70,-8.1,15
71,-11.0,10
72,-9.0,15
73,-10.5,5
74,-12.5,25
75,-7.6,15
76,-10.4,10
77,-11.5,15
78,-9.2,10
79,-9.6,15
80,-11.0,10
81,-10.5,5
82,-11.0,10
83,-10.5,5
84,-11.0,10
85,-11.0,10
86,-12.0,35
87,-10.2,5
88,-11.1,35
89,-12.2,25
90,-4.499999999999999,15
91,-9.3,20
92,-14.000000000000002,40
93,-10.5,5
94,-11.0,10
95,-2.099999999999998,20
96,-11.2,30
97,-11.6,25
98,-8.799999999999999,20
99,-9.100000000000001,25
100,-11.5,15
101,-11.0,10
102,-12.5,25
103,-4.099999999999998,20
104,-10.5,5
105,-10.5,5
