episode,reward,steps
1,-9.9,20
2,-9.4,20
3,-6.5,5
4,-11.5,15
5,-6.799999999999994,45
6,-10.5,5
7,-11.0,10
8,-11.3,25
9,-7.0,10
10,-5.599999999999998,15
11,-10.5,5
12,-11.1,20
13,-10.5,5
14,-11.5,15
15,-4.099999999999999,10
16,-12.0,20
17,-10.5,5
18,-5.099999999999993,30
19,-7.6,15
20,-11.2,15
21,-7.199999999999999,35
22,-4.199999999999998,20
23,4.699999999999996,35
24,-11.0,10
25,-9.7,15
26,-11.0,10
27,-12.0,20
28,-12.5,25
29,17.399999999999977,55
30,-2.2999999999999963,35
31,-11.0,10
32,-11.0,10
33,-10.5,5
34,-11.0,10
35,-12.0,20
36,-8.9,10
37,-7.5,20
38,-4.6,20
39,13.099999999999989,40
40,-10.5,5
41,-9.2,20
42,-10.5,5
43,-9.6,20
44,-13.0,30
45,-11.5,15
46,-13.0,30
47,-9.7,15
48,-10.5,5
49,-11.299999999999999,25
50,-10.2,5
51,-10.5,5
52,-10.799999999999999,20
53,-11.0,10
54,-10.6,15
55,-11.5,15
56,-11.0,10
57,-11.0,10
58,-10.5,5
59,-11.0,10
60,-10.2,20
61,-11.0,10
62,-10.4,10
63,-10.5,20
64,0.6999999999999993,20
65,-1.299999999999999,15
66,0.40000000000000213,15
67,-11.0,10
68,-9.6,5
69,-10.5,5
70,-10.5,5
71,-7.5,20
72,-11.0,10
73,-11.0,10
74,-11.2,15
75,-9.9,5
76,-7.0,15
77,-11.2,15
78,-10.5,5
79,-4.299999999999998,20
80,-12.5,25
81,-11.4,20
82,-11.0,10
83,-11.0,10
84,-10.3,30
85,-11.5,15
86,-9.0,20
87,-2.099999999999998,20
88,-10.5,5
89,-9.6,5
90,-10.5,5
91,-10.5,5
92,-10.5,5
93,-10.5,5
94,-11.0,10
95,-10.5,5
96,-4.099999999999999,10
97,-8.3,20
98,0.5000000000000036,20
99,-5.8999999999999995,20
100,-11.7,20
101,3.100000000000005,40
102,-11.0,10
103,-3.999999999999999,15
104,-10.5,20
105,-6.0,15
106,-5.8,20
107,-10.5,5
108,-12.5,25
109,-9.1,25
110,-9.9,25
111,-10.5,5
112,-6.0,15
113,-4.899999999999995,45
114,-10.2,5
115,-10.5,5
116,-11.5,15
117,-4.099999999999999,20
118,-2.6999999999999984,10
119,-11.5,15
120,8.300000000000002,40
121,-7.8999999999999995,5
122,-10.5,5
123,-0.9999999999999947,55
124,-5.0,15
125,-9.5,20
126,-11.0,10
127,-1.200000000000001,20
128,-0.8999999999999932,50
129,-10.5,5
130,-10.5,5
131,-11.0,10
132,-8.9,5
133,-10.5,5
134,-7.1999999999999975,25
135,-11.5,15
136,-7.8999999999999995,5
137,-9.299999999999999,5
138,-11.0,10
139,-11.0,10
140,-11.0,10
141,-11.5,15
142,-10.5,5
143,-8.5,20
144,-5.299999999999998,20
145,-10.5,5
146,-6.3,15
147,-11.5,15
148,-10.5,5
149,-11.0,10
150,4.599999999999998,35
151,0.09999999999999964,20
152,0.9000000000000092,45
153,-9.9,5
154,-8.7,20
155,-7.699999999999999,15
156,-11.0,10
157,-12.0,20
158,-11.0,10
159,-11.0,10
160,1.1000000000000014,15
161,-11.5,15
162,-7.199999999999999,5
163,0.6000000000000032,20
164,-2.3999999999999915,35
165,-12.5,25
166,-4.799999999999999,10
167,-8.2,20
168,-10.2,5
169,-8.3,25
170,-7.399999999999999,35
171,-10.5,5
172,-10.5,5
173,-3.2999999999999936,25
174,-8.1,25
175,-0.8999999999999986,35
176,21.19999999999996,80
177,-5.3,15
178,-9.2,5
179,-9.9,5
180,-10.5,5
181,-7.4,20
182,-9.799999999999999,10
183,-9.1,15
184,-10.5,5
185,4.900000000000002,20
186,-5.6,15
187,-9.7,15
188,-9.799999999999999,10
189,-10.5,5
190,-5.6,15
191,-11.0,10
192,-0.5,20
193,-3.3999999999999986,10
194,-2.599999999999998,15
195,-10.6,25
196,-11.2,40
197,-7.000000000000001,25
198,-11.5,15
199,-4.499999999999999,20
200,-13.500000000000002,35
201,-10.5,5
202,1.5000000000000053,35
203,6.400000000000004,50
204,4.500000000000005,35
205,-10.7,10
206,-11.4,20
207,-0.29999999999999893,15
208,-8.9,20
209,-1.9999999999999982,15
210,-11.0,10
211,9.899999999999993,55
212,-8.6,5
213,-9.299999999999999,15
214,-10.299999999999999,15
215,-3.3999999999999986,15
216,-5.5,20
217,-9.0,15
218,-10.5,5
219,0.4000000000000039,20
220,-1.5999999999999979,45
221,-3.299999999999998,20
222,-6.999999999999998,25
223,-11.2,15
224,-10.5,5
225,8.299999999999999,35
226,-12.5,25
227,-12.5,25
228,-3.699999999999992,30
229,-10.5,5
230,-1.299999999999999,15
231,-3.4999999999999973,20
232,-12.5,25
233,0.10000000000000142,25
234,-0.6999999999999975,20
235,-11.3,25
236,-3.799999999999999,20
237,-6.3,20
238,-11.5,15
239,-11.0,10
240,-1.299999999999999,15
241,-6.899999999999998,25
242,-9.799999999999999,10
243,-0.8999999999999986,30
244,-5.499999999999998,20
245,-3.5999999999999988,20
246,-11.1,20
247,-9.299999999999999,15
248,-4.299999999999999,15
249,0.10000000000000142,15
250,-10.5,5
251,-10.5,5
252,-1.6999999999999975,15
253,-4.899999999999993,25
254,-11.0,10
255,-12.5,25
256,-3.3999999999999986,15
257,-10.5,5
258,-11.0,10
259,-11.5,15
260,-10.5,5
261,-12.5,25
262,-2.1999999999999975,20
263,-10.6,15
264,-6.299999999999996,25
265,-1.6999999999999993,15
266,-7.8,10
267,-8.0,15
268,-11.2,15
269,-9.7,15
270,-8.2,20
271,-9.9,20
272,-6.799999999999999,15
273,-4.4999999999999964,20
274,13.49999999999998,65
275,-0.6999999999999993,35
276,-11.0,10
277,-7.0,15
278,-8.6,20
279,-11.200000000000001,40
280,-8.299999999999997,45
281,-0.9999999999999982,15
282,-0.9999999999999982,40
283,4.700000000000005,65
284,-10.2,20
285,-5.999999999999996,25
286,-10.5,5
287,-12.5,25
288,-1.1999999999999993,20
289,-8.5,30
290,-8.9,10
291,-10.5,5
292,1.8000000000000025,70
293,-3.9999999999999982,15
294,1.8000000000000007,20
295,-10.5,5
296,-6.999999999999999,20
297,-5.899999999999997,20
298,-9.9,5
299,-11.0,10
300,-13.0,30
301,-2.699999999999992,40
302,-10.5,5
303,-13.0,30
304,-11.0,10
305,-4.799999999999995,25
306,2.200000000000003,20
307,-4.799999999999997,20
308,-11.0,10
309,-10.7,25
310,-8.4,15
311,-6.8,20
312,-0.5999999999999979,15
313,-8.3,25
314,-7.6,25
315,0.10000000000000497,25
316,-9.5,10
317,-9.4,30
318,-11.5,15
319,-10.9,15
320,3.400000000000002,40
321,-2.5999999999999988,15
322,-2.8999999999999986,15
323,-7.5,15
324,-10.6,15
325,-11.0,10
326,1.6000000000000032,20
327,-10.2,5
328,-10.5,5
329,-8.2,30
330,-10.5,5
331,-10.5,5
332,-13.100000000000001,40
333,-8.2,15
334,-0.1999999999999993,20
335,2.3000000000000043,20
336,-10.5,5
337,-6.499999999999999,15
338,-11.0,10
339,-11.0,10
340,-7.9,10
341,-12.0,20
342,-2.8999999999999986,15
343,-4.599999999999999,20
344,-10.2,30
345,-10.5,5
346,-10.299999999999999,15
347,-8.7,20
348,-10.5,5
349,-10.5,5
350,-9.9,5
351,-2.099999999999998,20
352,-10.4,10
353,-10.5,5
354,-11.0,10
355,17.09999999999998,65
356,-12.5,25
357,-2.1999999999999984,15
358,-0.5,65
359,-11.0,10
360,-1.299999999999999,20
361,-7.0,15
362,-10.5,5
363,-10.5,5
364,1.1000000000000032,45
365,-10.5,5
366,-3.3999999999999986,15
367,-7.199999999999999,30
