episode,reward,steps
1,-10.0,15
2,-12.0,20
3,-10.9,25
4,-7.8999999999999995,5
5,-11.0,10
6,-0.29999999999999893,15
7,-11.2,15
8,-10.5,5
9,-11.0,10
10,-11.1,20
11,-10.5,5
12,-11.0,10
13,-11.5,30
14,-7.9,20
15,-10.0,30
16,-11.0,10
17,-11.5,15
18,-10.9,15
19,-11.0,10
20,-10.5,5
21,-10.5,5
22,-3.299999999999998,15
23,-11.5,15
24,-7.199999999999999,5
25,-9.299999999999999,5
26,-10.5,5
27,-10.5,5
28,-10.5,5
29,-11.0,10
30,-6.199999999999999,15
31,-11.1,20
32,-9.5,25
33,-9.299999999999999,15
34,-10.5,5
35,-11.5,15
36,-12.5,25
37,-10.5,5
38,-11.0,10
39,1.0000000000000053,40
40,-10.2,20
41,-11.0,10
42,-3.799999999999998,20
43,-5.499999999999999,10
44,-13.0,30
45,-11.5,15
46,-11.0,10
47,-8.0,20
48,-10.5,5
49,-6.3999999999999995,15
50,-12.0,20
51,-10.5,5
52,-10.5,5
53,-8.4,15
54,-11.5,15
55,-8.700000000000001,20
56,-10.2,5
57,-6.4,35
58,-4.3999999999999995,10
59,-10.5,5
60,-4.999999999999999,15
61,-6.5,15
62,-11.0,10
63,-4.399999999999999,10
64,-10.5,5
65,-10.5,5
66,-10.4,10
67,-10.5,5
68,-10.7,10
69,-11.0,10
70,-9.9,5
71,-12.0,20
72,-10.7,10
73,-8.5,15
74,-3.799999999999998,20
75,-10.799999999999999,20
76,-11.0,10
77,-7.699999999999999,15
78,-10.5,5
79,-3.1999999999999984,20
80,-10.5,5
81,-8.9,5
82,-9.9,5
83,-10.5,5
84,-11.5,15
85,-10.5,5
86,-4.6999999999999975,15
87,-10.2,5
88,-11.0,10
89,-10.2,5
90,-12.5,25
91,0.40000000000000746,45
92,-5.3,20
93,-12.5,25
94,-8.9,10
95,-3.3999999999999986,10
96,-10.1,10
97,-12.2,25
98,-11.0,10
99,-10.5,5
100,-6.4,15
101,-2.399999999999997,65
102,-7.299999999999994,45
103,-0.8999999999999968,20
104,-13.0,30
105,-13.0,30
106,-10.5,5
107,-7.199999999999999,5
108,-9.5,20
109,-9.3,25
110,-11.5,15
111,-11.0,10
112,-8.6,5
113,-9.799999999999999,10
114,-11.5,15
115,-10.1,10
116,-10.4,45
117,-12.5,25
118,-9.299999999999999,15
119,-7.4,20
120,-10.5,5
121,-10.5,5
122,-10.7,10
123,-12.2,25
124,-11.0,10
125,-11.2,15
126,-4.999999999999999,15
127,-6.8,20
128,-10.5,5
129,-10.5,5
130,-11.0,10
131,-10.5,5
132,-11.4,20
133,-11.0,10
134,-10.4,20
135,-9.799999999999999,10
136,-8.2,10
137,-10.6,15
138,-11.2,15
139,-10.5,5
140,-10.2,5
141,-11.5,15
142,-11.7,20
143,-11.0,10
144,-9.799999999999999,10
145,-9.4,20
146,-11.2,30
147,-11.0,10
148,-10.9,15
149,-11.5,15
150,-10.7,10
151,-10.6,15
152,-10.5,5
153,-10.5,5
154,-9.9,5
155,-10.7,10
156,-9.9,5
157,-12.0,20
158,-11.5,15
159,-10.2,5
160,-11.9,40
161,0.9000000000000021,20
162,12.099999999999989,40
163,-2.399999999999997,20
164,-12.5,25
165,-10.1,45
166,-11.5,15
167,-11.5,15
168,-10.799999999999999,20
169,-4.699999999999998,20
170,-10.5,5
171,-7.8999999999999995,5
172,-7.6,15
173,-1.3999999999999986,20
174,-11.0,10
175,-12.5,25
176,-10.5,5
177,-12.0,20
178,-11.0,10
179,-11.0,10
180,-10.1,10
181,-7.199999999999999,5
182,-8.6,15
183,-3.3999999999999986,15
184,-11.0,10
185,-10.1,25
186,-10.9,15
187,-1.9999999999999982,10
188,-7.699999999999999,15
189,-10.7,10
190,-0.9999999999999982,20
191,-10.7,10
192,-5.699999999999999,15
193,-11.0,10
194,-10.6,15
195,-11.0,10
196,1.8000000000000043,20
197,-6.9,15
198,-11.0,10
199,-5.199999999999996,20
200,-9.6,15
201,-10.5,5
202,-10.5,5
203,-10.5,5
204,-12.0,20
205,-6.9,20
206,-11.0,10
207,-10.5,5
208,-6.8,10
209,-11.4,20
210,-11.0,10
211,-10.5,5
212,-11.0,10
213,-0.3000000000000007,15
214,-7.199999999999999,5
215,-2.599999999999998,20
216,-10.9,15
217,-5.099999999999993,35
218,-10.5,5
219,-10.0,15
220,-10.5,5
221,-10.5,5
222,-11.5,15
223,-11.5,15
224,-12.0,20
225,-11.5,15
226,-9.9,5
227,-6.6,20
228,-5.599999999999993,25
229,-6.799999999999999,20
230,-11.0,10
231,-10.2,5
232,-11.0,10
233,-2.9999999999999902,40
234,-11.5,15
235,13.499999999999991,35
236,-10.5,5
237,-10.299999999999999,15
238,-6.0,15
239,-11.0,10
240,-11.5,15
241,-11.0,10
242,-10.5,5
243,-10.5,5
244,-12.5,25
245,-10.5,5
246,-10.5,5
247,-9.9,5
248,-11.0,10
249,-7.8999999999999995,5
250,-10.5,5
251,-6.499999999999998,20
252,-12.0,20
253,-10.5,5
254,-11.0,10
255,-10.5,5
256,-11.299999999999999,25
257,-10.299999999999999,15
258,-11.0,10
259,-10.5,5
260,10.299999999999999,50
261,-5.699999999999999,15
262,-10.1,25
263,-10.5,5
264,4.900000000000004,20
265,-9.2,5
266,-10.5,5
267,-5.799999999999999,10
268,-10.5,5
269,-9.6,5
270,-8.6,5
271,-7.8,35
272,-5.7,15
273,-11.0,10
274,-4.799999999999998,10
275,-11.1,20
276,-11.0,25
277,-10.5,5
278,-10.5,5
279,-9.2,10
280,-8.5,10
281,-11.5,15
282,-10.5,5
283,-3.6999999999999993,15
284,-10.5,5
285,-10.7,10
286,-11.0,10
287,-10.5,5
288,-10.4,10
289,-3.8999999999999924,30
290,-11.0,10
291,-12.4,30
292,-6.099999999999992,30
293,-0.3000000000000007,15
294,-10.2,5
295,-7.199999999999999,5
296,-9.9,20
297,-11.5,15
298,-9.1,10
299,-5.7,15
300,-10.5,5
301,-7.1,10
302,-2.599999999999998,20
303,-2.3999999999999986,20
304,-11.5,15
305,-10.5,5
306,-12.5,25
307,-11.0,10
308,-11.5,15
309,-10.6,15
310,-10.5,5
311,-10.5,5
312,-10.5,5
313,-10.5,5
314,-10.5,5
315,-10.4,25
316,-7.3,25
317,-11.0,10
318,-7.099999999999999,15
319,-5.399999999999998,20
320,4.200000000000003,20
321,-10.5,5
322,3.5000000000000036,20
323,-10.5,5
324,-10.5,5
325,-8.5,20
326,-10.5,5
327,-10.5,5
328,-6.799999999999995,30
329,-4.799999999999999,20
330,-0.9999999999999982,15
331,-10.5,5
332,-11.2,15
333,-6.8,20
334,-10.2,5
335,-11.0,10
336,-11.0,10
337,-5.6,15
338,11.99999999999997,65
339,-2.3999999999999977,20
340,-10.5,5
341,-9.7,15
342,5.999999999999998,35
343,-11.0,10
344,-2.799999999999998,20
345,-11.2,25
346,-9.5,20
347,-11.0,10
348,-5.3999999999999915,30
349,-0.5,20
350,-4.3,50
351,3.3000000000000025,40
352,-12.5,25
353,-9.9,5
354,-10.2,20
355,-10.9,15
356,-10.5,5
357,-2.299999999999997,20
358,-10.5,5
359,-10.5,5
360,-4.399999999999999,10
361,3.0999999999999943,30
362,-6.8999999999999995,25
363,-11.1,20
364,-10.5,5
365,-11.0,10
366,-2.099999999999998,20
367,-11.0,10
368,0.5000000000000018,20
369,-11.0,10
370,-6.499999999999999,10
371,-1.2999999999999972,15
372,-11.0,10
373,-10.5,5
374,-10.5,5
375,-10.5,5
376,12.699999999999983,65
377,-12.2,25
378,-10.5,5
379,-6.6,15
380,-11.0,10
381,-10.299999999999999,15
382,-11.1,20
383,-10.5,5
384,-9.3,20
385,-10.2,5
386,-11.5,15
387,-10.1,10
388,-10.5,5
389,0.40000000000000213,15
390,-8.9,10
391,-6.6,15
392,-11.5,15
393,-10.7,10
394,-8.6,30
395,-10.5,5
396,0.7000000000000028,20
397,-12.0,20
398,-2.3999999999999977,15
399,-10.5,5
400,-1.6999999999999993,20
401,-10.5,5
402,-12.0,20
403,-11.5,15
404,-7.199999999999999,10
405,-10.4,10
406,-11.5,15
407,0.7000000000000011,30
408,-4.199999999999999,20
409,-11.0,10
410,-11.5,15
411,5.900000000000004,35
412,-11.0,10
413,-10.5,5
414,-11.0,10
415,-6.5,5
416,-11.0,10
417,-7.199999999999999,5
418,-12.0,20
419,23.199999999999967,50
420,-7.199999999999999,5
421,-11.5,15
422,-10.5,5
423,-8.0,20
424,-10.5,5
425,5.329070518200751e-15,50
426,-10.3,30
427,-11.5,15
428,-3.3999999999999977,15
429,-11.9,25
430,-11.2,15
431,-6.3,15
432,-7.199999999999999,5
433,-11.0,10
434,-11.0,10
435,-11.5,15
436,-10.5,5
437,-10.1,20
438,-0.3000000000000025,20
439,-10.5,5
440,-0.9999999999999982,15
441,-12.0,20
442,-10.5,5
443,-7.199999999999999,5
444,2.600000000000003,20
445,-10.5,5
446,-10.5,5
447,-11.0,10
448,-5.199999999999999,20
449,-11.7,20
450,-1.200000000000001,20
451,-4.799999999999999,20
452,-10.2,5
453,-6.399999999999995,45
454,-11.0,10
455,-6.5,5
456,-6.1,15
457,-10.5,5
458,-7.1,15
459,-10.5,20
460,-11.0,10
461,-10.5,5
462,-10.5,5
463,-8.9,15
464,-10.5,5
465,-9.5,10
466,-2.3999999999999977,20
467,4.900000000000002,20
468,-11.0,10
469,-9.6,5
470,-9.9,5
471,-10.4,25
472,-11.5,15
473,-3.299999999999997,20
474,-10.6,15
475,-9.7,15
476,-8.1,20
477,-10.5,5
478,-11.0,10
479,-11.2,15
480,-11.0,10
481,20.09999999999998,40
482,-12.4,30
483,-7.699999999999999,10
484,-11.2,15
485,-11.0,10
486,-5.699999999999999,20
487,-10.5,5
488,-5.899999999999997,15
489,-10.1,10
490,-11.5,15
491,-8.6,20
492,-10.7,10
493,-4.299999999999998,20
494,-10.1,10
495,-11.0,10
496,-4.499999999999993,30
497,-11.0,10
498,-11.2,15
499,-11.0,10
500,-3.1999999999999957,20
501,-8.600000000000001,30
502,-10.2,5
503,-4.199999999999999,35
504,-11.1,20
505,-10.5,5
506,1.700000000000001,45
507,1.6000000000000032,20
508,-11.0,10
509,-2.799999999999999,20
510,-11.5,15
511,-11.0,10
512,7.3000000000000025,30
513,-6.899999999999999,20
514,-11.0,10
515,-12.0,20
516,-12.5,25
517,-12.1,30
518,-10.200000000000001,30
519,1.5000000000000036,20
520,-0.7999999999999989,20
521,-11.0,10
522,-10.5,20
523,-10.5,5
524,-9.799999999999999,10
525,-9.4,15
526,-9.5,20
527,-10.9,15
528,-11.0,10
529,-7.199999999999999,5
530,-10.5,5
531,-9.4,15
532,-8.6,5
533,-10.5,5
534,-8.2,5
535,1.4000000000000004,20
536,-10.5,5
537,-7.699999999999999,20
538,-11.0,10
539,-10.5,5
540,-7.199999999999999,5
541,-11.5,15
542,-10.1,10
543,-10.7,10
544,-10.5,5
545,-6.1,10
546,-9.299999999999999,15
547,-6.1,15
548,-11.0,10
549,-2.599999999999998,20
550,-10.5,5
551,0.9000000000000021,20
552,-11.0,10
553,-11.0,10
554,-10.5,5
555,-11.0,10
556,-7.699999999999999,20
557,-11.5,15
558,-7.8,15
559,-10.5,5
560,-8.8,10
561,-11.4,20
562,-10.5,5
563,-10.5,5
564,-4.699999999999998,20
565,-10.0,15
566,-11.0,10
567,-4.699999999999998,15
568,-11.0,10
569,-10.7,10
570,-8.5,10
571,-10.5,5
572,-11.5,15
573,-10.5,5
574,-11.0,10
575,-10.9,15
576,-11.0,10
577,0.3999999999999986,20
578,0.40000000000000213,15
579,-5.399999999999999,10
580,-11.5,15
581,-11.5,15
582,-5.999999999999998,15
583,-6.099999999999999,10
584,-1.6999999999999993,20
585,-10.5,5
586,-11.5,15
587,-10.5,5
588,-11.2,15
589,-12.5,25
590,-11.0,10
591,-11.0,10
592,-11.0,10
593,-4.799999999999999,20
594,-10.1,10
595,3.1000000000000014,40
596,-10.5,5
597,-4.099999999999998,15
598,-13.0,30
599,0.40000000000000036,15
600,-5.0999999999999925,30
601,-8.4,10
