episode,reward,steps
1,-10.5,5
2,-12.0,20
3,-10.5,5
4,-8.600000000000001,30
5,-10.5,5
6,-9.7,10
7,-8.9,20
8,-7.8999999999999995,15
9,-11.7,20
10,-7.1,10
11,-11.0,10
12,-8.3,20
13,-7.199999999999999,20
14,-10.7,10
15,-9.9,5
16,-11.0,10
17,-5.6999999999999975,15
18,-10.5,5
19,-7.5,10
20,-11.7,20
21,-7.8,15
22,-9.9,20
23,-9.6,20
24,-10.4,20
25,-11.0,10
26,-5.799999999999999,20
27,-2.3999999999999986,20
28,-7.199999999999999,5
29,-10.5,5
30,-7.099999999999999,15
31,-11.0,10
32,-6.299999999999999,15
33,-5.9,20
34,-4.799999999999999,20
35,-0.6999999999999975,20
36,-4.599999999999998,20
37,-10.5,20
38,0.6999999999999975,20
39,-1.5999999999999979,20
40,-11.5,15
41,2.100000000000003,20
42,-10.5,20
43,-12.0,20
44,-11.5,15
45,-12.0,20
46,-7.8,15
47,-9.1,10
48,-11.0,10
49,-10.5,5
50,-10.5,5
51,-7.299999999999999,20
52,-11.5,15
53,-10.299999999999999,15
54,-3.9999999999999982,15
55,-10.5,5
56,-10.9,15
57,-10.5,5
58,-10.5,5
59,-10.5,5
60,-11.0,10
61,-9.6,20
62,-8.7,15
63,-9.7,15
64,-2.6999999999999984,20
65,-4.599999999999992,40
66,-11.5,15
67,-11.5,15
68,-9.7,15
69,-11.2,15
70,1.4000000000000057,35
71,-10.5,5
72,-8.1,20
73,-6.399999999999999,15
74,-11.0,10
75,-11.0,10
76,-10.5,5
77,-12.0,20
78,-11.0,10
79,-10.5,5
80,-11.5,15
81,-8.4,20
82,-10.5,5
83,-9.6,5
84,-3.2999999999999963,20
85,-2.4999999999999964,35
86,-12.0,20
87,-6.699999999999999,20
88,-6.199999999999999,20
89,-5.2,20
90,-11.0,10
91,-10.0,15
92,-11.0,10
93,-13.0,30
94,-12.0,20
95,-4.799999999999999,10
96,-8.8,15
97,-10.799999999999999,20
98,-9.6,5
99,-2.799999999999998,20
100,-4.599999999999997,15
101,-9.8,20
102,-12.0,20
103,-11.0,10
104,-1.4999999999999964,35
105,-7.4,15
106,-5.6,15
107,-10.8,35
108,-10.1,10
109,-10.5,5
110,-6.499999999999998,10
111,-3.3999999999999977,15
112,-7.300000000000001,35
113,-11.0,10
114,-4.299999999999999,15
115,-6.5,20
116,-10.5,5
117,-11.0,10
118,-11.0,10
119,-11.0,10
120,-7.5,20
121,-11.5,15
122,-4.499999999999997,15
123,-7.699999999999994,45
124,-11.5,15
125,-10.7,10
126,-10.5,5
127,-8.4,10
128,-5.4999999999999964,20
129,-9.6,5
130,-10.8,20
131,-11.5,15
132,-4.999999999999999,15
133,-10.5,5
134,-4.299999999999997,15
135,1.5000000000000053,35
