episode,reward,steps
1,-11.5,15
2,-11.0,10
3,-6.8,20
4,-11.5,15
5,-0.4999999999999982,20
6,-10.5,5
7,-11.2,15
8,-4.099999999999999,10
9,-10.5,5
10,-6.799999999999999,10
11,-10.5,5
12,-6.5,5
13,-10.5,5
14,-4.399999999999998,15
15,-10.2,5
16,-10.4,10
17,-8.9,20
18,-9.299999999999999,5
19,-12.0,20
20,-11.0,10
21,-10.5,5
22,-8.7,10
23,-10.2,5
24,-11.0,10
25,-9.1,25
26,-12.0,20
27,-10.5,5
28,-10.1,20
29,-9.6,5
30,-9.9,5
31,-9.6,5
32,-5.8,15
33,-12.0,20
34,-10.5,5
35,-9.799999999999999,10
36,-9.6,5
37,-11.7,20
38,-8.4,10
39,-11.0,10
40,-11.5,15
41,-10.5,5
42,-10.1,20
43,-9.1,15
44,-10.5,5
45,-10.2,5
46,-9.9,20
47,-12.0,20
48,-7.1,10
49,-11.5,15
50,-9.5,10
51,-10.5,5
52,-11.5,15
53,-10.5,5
54,-10.299999999999999,15
55,-7.0,15
56,-10.799999999999999,20
57,-6.099999999999999,20
58,-6.799999999999999,20
59,-10.4,10
60,-12.700000000000001,30
61,-11.7,20
62,-10.3,25
63,-8.0,15
64,-10.5,5
65,-10.2,5
66,-11.0,10
67,-12.2,25
68,-11.0,10
69,-10.5,5
70,-10.5,5
71,-10.2,20
72,-3.9999999999999964,20
73,-11.0,10
74,-11.0,10
75,-11.0,10
76,-11.0,10
77,-10.5,5
78,-11.5,15
79,-6.299999999999999,20
80,-11.0,10
81,-10.5,5
82,-10.5,5
83,-10.5,5
84,-10.5,5
85,-10.5,5
86,-11.0,10
87,-13.0,30
88,-10.5,5
89,-10.5,5
90,-11.0,10
91,-11.0,10
92,-5.399999999999996,25
93,-10.5,5
94,-2.3999999999999986,15
95,-7.800000000000001,25
96,-9.8,30
97,-8.9,20
98,-10.0,30
99,-8.1,20
100,-10.5,5
101,-11.0,25
102,-11.5,15
103,-10.7,25
104,-10.5,5
105,-9.9,5
106,-10.5,5
107,-9.799999999999999,10
108,-2.8999999999999986,20
109,-8.8,10
110,-10.4,30
111,-4.599999999999987,50
112,-1.8999999999999986,15
113,-1.4999999999999982,20
114,-6.499999999999999,10
115,-8.6,5
116,-1.5999999999999854,65
117,-10.5,5
118,-12.5,25
119,-6.199999999999999,15
120,-11.5,15
121,-9.9,5
122,-11.0,10
123,-5.399999999999998,25
124,-10.799999999999999,20
125,-10.5,5
126,-10.9,15
127,4.600000000000001,25
128,-10.0,15
129,-11.0,10
130,-11.0,10
131,-9.6,5
132,-8.8,10
133,-6.699999999999999,15
134,-11.5,15
135,-11.0,10
